서명 추가|Add signature
성별, 생년 정보 제공|Provide gender and birth year information
사용자 지정|Custom
뷰어설정|Viewer
대치|Replace
시간 선택|Select time
책장 동기화 중 오류가 발생했습니다.\n다시 시도해주세요.|An error occurred while syncing bookshelf.\nPlease try again.
주석을 함께 출력|Print with annotations
이메일|Email
책장을 선택해주세요.|Please select a bookshelf.
볼륨키로 페이지 이동|Turn pages with volume keys
알 수 없는 인코딩입니다.|Unknown encoding.
비밀번호 8자 이상|Password must be at least 8 characters
잠금 설정이 초기화 되었습니다.|Lock settings have been reset.
터치 잠금|Touch Lock
편집|Edit
첫 페이지|First Page
시간 입력을 위해 텍스트 입력 모드로 전환합니다.|Switching to text input mode to enter time.
아이디, 비밀번호를 잊어버린 경우 스마트폰이나 PC를 통해\n리디(ridi.com)에서 찾을 수 있습니다.|If you have forgotten your ID or password, you can find it on\nRidi (ridi.com) via your smartphone or PC.
리치 미디어|Rich Media
비밀번호 재확인|Confirm Password
내 댓글|My Comments
즐겨찾기|Favorites
비밀번호를 입력해주세요.|Please enter your password.
독서 상태|Reading Status
다음 이름으로 변경…|Rename…
스페이스바|Spacebar
우리나라는 국제권고기준(2 W/kg)보다 엄격한 1.6 W/kg으로 정하고\n있으며 미국도 우리와 같은 기준을 적용하고 있습니다.\n안전기준인 1.6 W/kg은 위험 예상 가능 수준보다 50배나 더 엄격하게\n설정한 것입니다.|Korea has a stricter standard of 1.6 W/kg than the international recommendation (2 W/kg),\nand the United States applies the same standard.\nThe safety standard of 1.6 W/kg is set 50 times more strictly than the\nforeseeable risk level.
확인|OK
남은 시간|Time Remaining
리디 회원이 된것을 축하합니다!|Congratulations on becoming a Ridi member!
듣기 종료|Stop Listening
설정되지 않음|Not set
%1$s 사용|Use %1$s
메모|Memo
작품을 들을 수도 있어요!|You can also listen to the work!
기기 설정|Device
삭제|Delete
파일이 삭제되었습니다.\n[구매 목록]에서 작품을 다시 다운로드해주세요.|The file has been deleted.\nPlease re-download the work from [Purchase List].
현재 서비스 정기 점검 중 입니다.\n일부 서비스의 이용이 제한될 수 있습니다.\n점검이 끝난 후 다시 이용해주세요.|We are currently undergoing scheduled service maintenance.\nSome services may be limited.\nPlease try again after the maintenance is complete.
DRM 문제로 작품을 볼 수 없습니다(109).\n'설정 > 고객 문의 & 의견 보내기'에 문의해주세요.|Cannot view the work due to a DRM issue (109).\nPlease contact us via 'Settings > Customer Support & Feedback'.
글꼴은 5개까지 설정할 수 있으며 만화책, PDF 파일에는 적용되지 않습니다.|You can set up to 5 fonts, which do not apply to comics or PDF files.
좌/우 터치 영역 설정|Set Left/Right Touch Areas
숨기기|Hide
로그아웃 상태입니다.|You are logged out.
서비스 오류 또는 점검으로 현재 오프라인 모드입니다.\n일부 기능이 제한될 수 있습니다.|Currently in offline mode due to a service error or maintenance.\nSome features may be limited.
정렬|Sort
스크린|Screen
사용 안함|Disabled
작품 보기에만 집중해보세요!|Just focus on viewing the work!
오전 또는 오후를 선택하세요.|Select AM or PM.
스포일러 포함|Contains Spoilers
대화상자 아이콘|Dialog icon
법률 및 규제 정보|Legal & Regulatory Information
입력된 글자 %1$d/%2$d|Characters entered %1$d/%2$d
완료|Done
독서노트를 보려면 로그인이 필요합니다.|You need to log in to view your reading notes.
종료일|End Date
책갈피|Bookmark
읽을 수 없는 작품 파일 모두 삭제|Delete all unreadable work files
문서 크기 사용|Use document size
날짜 범위가 잘못되었습니다.|Invalid date range.
다각형|Polygon
파일이 손상되었습니다(106).\n삭제 후 [구매 목록]에서 다시 다운로드해주세요.|The file is corrupted (106).\nPlease delete it and re-download from [Purchase List].
안정적인 기기 사용을 위해 지금 업데이트를 권장합니다.|We recommend updating now for stable device use.
화면 터치 잠금이 설정되고 페이지 넘김\n버튼으로만 페이지를 넘길 수 있습니다.|Screen touch lock is enabled, and pages can only be turned\nwith the page turn buttons.
뷰어 설정|Viewer Settings
마지막 권부터|From the last volume
아이디 5~20자 영문, 숫자|ID must be 5-20 English letters and numbers
서명|Signature
자세히 보기|View Details
만 14세 미만 어린이는 PC 혹은 스마트폰에서 법정대리인(보호자)의 본인인증 후 회원가입할 수 있습니다.|Children under 14 can sign up after identity verification by a legal guardian on a PC or smartphone.
서명 없음|No Signature
파일 삭제|Delete File
글자 크기|Font Size
다음 페이지 / 아래로 스크롤|Next Page / Scroll Down
건너뛰기|Skip
비밀번호|Password
최종|Final
반만 펼치기|Half-expand
%1$s~종료일|%1$s~End Date
시작일|Start Date
시간|Time
듣기 재생/일시 정지|Listen Play/Pause
슬립 화면|Sleep Screen
스크린을 켠 상태로 유지|Keep screen on
정렬 순서|Sort Order
일반 공개 용도|For public release
